Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
3145,14452,-29057,20536,-27893,1
3155,11043,-29468,17633,-28531,1
3165,7460,-29763,14452,-29057,1
3175,3759,-29940,11043,-29468,1
3185,0,-29999,7460,-29763,1
3195,-3759,-29940,3759,-29940,1
3205,-7460,-29763,0,-29999,1
3215,-11043,-29468,-3759,-29940,1
3225,-14452,-29057,-7460,-29763,1
3235,-17633,-28531,-11043,-29468,1
3245,-20536,-27893,-14452,-29057,1
3255,-23115,-27144,-17633,-28531,1
3265,-25329,-26289,-20536,-27893,1
3275,-27144,-25329,-23115,-27144,1
3285,-28531,-24270,-25329,-26289,1
3295,-29468,-23115,-27144,-25329,1
3305,-29940,-21869,-28531,-24270,1
3315,-29940,-20536,-29468,-23115,1
3325,-29468,-19122,-29940,-21869,1
3335,-28531,-17633,-29940,-20536,1
3345,-27144,-16074,-29468,-19122,1
3355,-25329,-14452,-28531,-17633,1
3365,-23115,-12773,-27144,-16074,1
3375,-20536,-11043,-25329,-14452,1
3385,-17633,-9270,-23115,-12773,1
3395,-14452,-7460,-20536,-11043,1
3405,-11043,-5621,-17633,-9270,1
3415,-7460,-3759,-14452,-7460,1
3425,-3759,-1883,-11043,-5621,1
3435,0,0,-7460,-3759,1
3445,3759,1883,-3759,-1883,1
3455,7460,3759,0,0,1
3465,11043,5621,3759,1883,1
3475,14452,7460,7460,3759,1
3485,17633,9270,11043,5621,1
3495,20536,11043,14452,7460,1
3505,23115,12773,17633,9270,1
3515,25329,14452,20536,11043,1
3525,27144,16074,23115,12773,1
3535,28531,17633,25329,14452,1
3545,29468,19122,27144,16074,1
3555,29940,20536,28531,17633,1
3565,29940,21869,29468,19122,1
3575,29468,23115,29940,20536,1
3585,28531,24270,29940,21869,1
3595,27144,25329,29468,23115,1
3605,25329,26289,28531,24270,1
3615,23115,27144,27144,25329,1
3625,20536,27893,25329,26289,1
3635,17633,28531,23115,27144,1
3645,14452,29057,20536,27893,1
3655,11043,29468,17633,28531,1
3665,7460,29763,14452,29057,1
3675,3759,29940,11043,29468,1
3685,0,29999,7460,29763,1
3695,-3759,29940,3759,29940,1
3705,-7460,29763,0,29999,1
3715,-11043,29468,-3759,29940,1
3725,-14452,29057,-7460,29763,1
3735,-17633,28531,-11043,29468,1
3745,-20536,27893,-14452,29057,1
3755,-23115,27144,-17633,28531,1
3765,-25329,26289,-20536,27893,1
3775,-27144,25329,-23115,27144,1
3785,-28531,24270,-25329,26289,1
3795,-29468,23115,-27144,25329,1
3805,-29940,21869,-28531,24270,1
3815,-29940,20536,-29468,23115,1
3825,-29468,19122,-29940,21869,1
3835,-28531,17633,-29940,20536,1
3845,-27144,16074,-29468,19122,1
3855,-25329,14452,-28531,17633,1
3865,-23115,12773,-27144,16074,1
3875,-20536,11043,-25329,14452,1
3885,-17633,9270,-23115,12773,1
3895,-14452,7460,-20536,11043,1
3905,-11043,5621,-17633,9270,1
3915,-7460,3759,-14452,7460,1
3925,-3759,1883,-11043,5621,1
3935,0,0,-7460,3759,1
3945,3759,-1883,-3759,1883,1
3955,7460,-3759,0,0,1
3965,11043,-5621,3759,-1883,1
3975,14452,-7460,7460,-3759,1
3985,17633,-9270,11043,-5621,1
3995,20536,-11043,14452,-7460,1
4005,23115,-12773,17633,-9270,1
4015,25329,-14452,20536,-11043,1
4025,27144,-16074,23115,-12773,1
4035,28531,-17633,25329,-14452,1
4045,29468,-19122,27144,-16074,1
4055,29940,-20536,28531,-17633,1
4065,29940,-21869,29468,-19122,1
4075,29468,-23115,29940,-20536,1
4085,28531,-24270,29940,-21869,1
4095,27144,-25329,29468,-23115,1
4105,25329,-26289,28531,-24270,1
4115,23115,-27144,27144,-25329,1
4125,20536,-27893,25329,-26289,1
4135,17633,-28531,23115,-27144,1
4145,14452,-29057,20536,-27893,1
4155,11043,-29468,17633,-28531,1
4165,7460,-29763,14452,-29057,1
4175,3759,-29940,11043,-29468,1
4185,0,-29999,7460,-29763,1
4195,-3759,-29940,3759,-29940,1
4205,-7460,-29763,0,-29999,1
4215,-11043,-29468,-3759,-29940,1
4225,-14452,-29057,-7460,-29763,1
4235,-17633,-28531,-11043,-29468,1
4245,-20536,-27893,-14452,-29057,1
4255,-23115,-27144,-17633,-28531,1
4265,-25329,-26289,-20536,-27893,1
4275,-27144,-25329,-23115,-27144,1
4285,-28531,-24270,-25329,-26289,1
4295,-29468,-23115,-27144,-25329,1
4305,-29940,-21869,-28531,-24270,1
4315,-29940,-20536,-29468,-23115,1
4325,-29468,-19122,-29940,-21869,1
4335,-28531,-17633,-29940,-20536,1
4345,-27144,-16074,-29468,-19122,1
4355,-25329,-14452,-28531,-17633,1
4365,-23115,-12773,-27144,-16074,1
4375,-20536,-11043,-25329,-14452,1
4385,-17633,-9270,-23115,-12773,1
4395,-14452,-7460,-20536,-11043,1
4405,-11043,-5621,-17633,-9270,1
4415,-7460,-3759,-14452,-7460,1
4425,-3759,-1883,-11043,-5621,1
4435,0,0,-7460,-3759,1
4445,3759,1883,-3759,-1883,1
